Company,Ticker
"SICHUAN CHUANTOU ENERGY CO.,LTD.",600674.SS
CHINA ENTERPRISE COMPANY LIMITED,600675.SS
NINGBO JOYSON ELECTRONIC CORP.,600699.SS
"Wuchan Zhongda Group Co., Ltd.",600704.SS
"CCCC Design & Consulting Group Co., Ltd.",600720.SS
"CHONGQING DEPARTMENT STORE CO.,LTD.",600729.SS
"COFCO SUGAR HOLDING CO.,LTD.",600737.SS
"SHAN XI COKING CO.,LTD",600740.SS
HUAYU Automotive Systems Company Limited,600741.SS
"JIANGZHONG PHARMACEUTICAL CO.,LTD",600750.SS
"XIAMEN ITG GROUP CORP., LTD.",600755.SS
"Tibet Urban Development and Investment Co.,LTD",600773.SS
"EASTERN COMMUNICATIONS CO.,LTD.",600776.SS
"Xinyu Iron ＆ Steel Co.,Ltd",600782.SS
"HUAXIN CEMENT CO., LTD.",600801.SS
"ENN Natural Gas Co., Ltd.",600803.SS
"SHANGHAI TUNNEL ENGINEERING CO.,LTD.",600820.SS
"Shanghai Baosight Software Co., Ltd.",600845.SS
Shanghai Lingang Holdings Corporation Limited,600848.SS
"CETC Digital Technology Co.,Ltd.",600850.SS
"LONGJIAN ROAD & BRIDGE CO.,LTD.",600853.SS
"Avic Aviation High-Technology Co., Ltd.",600862.SS
INNER MONGOLIA MENGDIAN HUANENG THERMAL POWER CORPORATION LI,600863.SS
"MeiHua Holdings Group Co.,Ltd",600873.SS
"China Aerospace Times Electronics CO., LTD.",600879.SS
Hongfa Technology Co.，Ltd.,600885.SS
"XINJIANG JOINWORLD CO.,LTD.",600888.SS
"HUAAN SECURITIES CO., LTD.",600909.SS
"China National Gold Group Gold Jewellery Co.,Ltd",600916.SS
"BANK OF HANGZHOU CO.,LTD.",600926.SS
"YONGAN FUTURES CO.,LTD.",600927.SS
"IKD Co., Ltd.",600933.SS
China Suntien Green Energy Corporation Limited,600956.SS
"Inner Mongolia First Machinery Group Co.,Ltd.",600967.SS
CNOOC Energy Technology & Services Limited,600968.SS
"Sinoma International Engineering Co.,Ltd.",600970.SS
"Huaibei Mining Holdings Co.,Ltd.",600985.SS
"ZHEJIANG HANGMIN CO., LTD.",600987.SS
"Mayinglong Pharmaceutical Group Stock Co.,LTD.",600993.SS
Jointown Pharmaceutical Group Company Limited,600998.SS
"TANGSHAN PORT GROUP CO.,LTD.",601000.SS
"Jinneng Holding Shanxi Coal Industry Co.,Ltd.",601001.SS
"BANK OF NANJING CO., LTD",601009.SS
CECEP Wind-Power Corporation,601016.SS
Ningbo Zhoushan Port Company Limited,601018.SS
"Shandong Publishing&Media Co.,Ltd",601019.SS
"Spring Airlines Co., Ltd.",601021.SS
"Ningbo Ocean Shipping Co., Ltd.",601022.SS
601033,601033.SS
"Jiangxi Salt Industry Group Co., Ltd",601065.SS
"Chongqing Rural Commercial Bank Co., Ltd.",601077.SS
"China South Publishing & Media Group Co.,Ltd.",601098.SS
"CAITONG SECURITIES CO.,LTD",601108.SS
"Jiangsu Changshu Rural Commercial Bank Co., Ltd.",601128.SS
"Ningbo Boway Alloy Material Co., Ltd",601137.SS
SHENZHEN GAS CORPORATION LTD.,601139.SS
"Eastern Air Logistics Co., Ltd.",601156.SS
"Chongqing Water Group Co.,Ltd.",601158.SS
"Xiamen Bank Co.,Ltd.",601187.SS
"DONGXING SECURITIES CO., LTD.",601198.SS
"INNER MONGOLIA JUNZHENG ENERGY & CHEMICAL GROUP CO.,LTD.",601216.SS
"JIANGSU LINYANG Energy CO., LTD.",601222.SS
"Bank of Shanghai Co.,ltd.",601229.SS
"Universal scientific industrial(shanghai)Co.,Ltd.",601231.SS
"TONGKUN GROUP CO,LTD",601233.SS
"Qingdao Port International Co., Ltd.",601298.SS
"Camel Group Co.,Ltd.",601311.SS
"Dynagreen Environmental Protection Group Co.,Ltd",601330.SS
"Guolian Securities Co., Ltd.",601456.SS
"China-Singapore Suzhou Industrial Park Development Group Co.,Ltd",601512.SS
"NINGBO SANXING MEDICAL ELECTRIC Co.,Ltd.",601567.SS
"BANK OF CHANGSHA CO.,TD.",601577.SS
Sinotrans Limited,601598.SS
CHINA NUCLEAR ENGINEERING & CONSTRUCTION CORPORATION LIMITED,601611.SS
"Zhuzhou Kibing Group Co., Ltd",601636.SS
"QILU BANK CO., LTD.",601665.SS
"PINGDINGSHAN TIANAN COAL MINING CO., LTD.",601666.SS
"Henan Mingtai Al. Industrial Co.,Ltd.",601677.SS
"Shanxi Lu’an Environmental Energy Development Co.,Ltd.",601699.SS
Shanghai Huafon Aluminium Corporation,601702.SS
"ZHENGZHOU COAL MINING MACHINERY GROUP Co.,Ltd",601717.SS
"Changzhou Xingyu Automotive Lighting Systems Co., Ltd",601799.SS
China Oilfield Services Limited,601808.SS
"Xinhua Winshare Publishing and Media Co., Ltd.",601811.SS
"Shanghai Rural Commercial Bank Co., Ltd.",601825.SS
"BANK OF CHENGDU CO., LTD.",601838.SS
China Science Publishing & Media Ltd.,601858.SS
"Flat Glass Group Co., Ltd.",601865.SS
Yangtze Optical Fibre and Cable Joint Stock Limited Company,601869.SS
"ZHEJIANG CHINT ELECTRICS CO.,LTD.",601877.SS
"Liaoning Port Co., Ltd.",601880.SS
"NINGBO HAITIAN PRECISION MACHINERY CO., LTD.",601882.SS
China Coal Energy Company Limited,601898.SS
"Beijing Jingyuntong Technology Co.,Ltd.",601908.SS
JIANGSU PHOENIX PUBLISHING&MEDIA CORPORATION LIMITED,601928.SS
"Jiangsu Provincial Agricultural Reclamation and Development Co.,Ltd",601952.SS
"Jinduicheng Molybdenum Co.,Ltd",601958.SS
"CHINA AUTOMOTIVE ENGINEERING RESEARCH INSTITUE CO.,LTD",601965.SS
BBMG Corporation,601992.SS
BANK OF GUIYANG CO.LTD.,601997.SS
"China Wafer Level CSP Co., Ltd",603005.SS
"XILINMEN FURNITURE CO.,LTD.",603008.SS
"China DesignGroupCo.,Ltd.",603018.SS
603025,603025.SS
"QIANHE CONDIMENT AND FOOD CO., LTD",603027.SS
"DELIXI NEW ENERGY TECHNOLOGY CO.,LTD",603032.SS
"GUANGZHOU RESTAURANT GROUP CO.,LTD.",603043.SS
"DEPPON LOGISTICS Co.,LTD.",603056.SS
"Shenzhen Hopewind Electric Co., Ltd.",603063.SS
"Sichuan Hebang Biotechnology Co.,Ltd.",603077.SS
"RIAMB (Beijing) Technology Development Co., Ltd.",603082.SS
"CIG SHANGHAI CO.,LTD.",603083.SS
"Shanghai Runda Medical Technology Co.,Ltd",603108.SS
"JOINN LABORATORIES (CHINA) CO., LTD",603127.SS
CTS lnternational Logistics Corporation Limited,603128.SS
"ZHEJIANG CFMOTO POWER CO.,LTD.",603129.SS
"Shanghai Bolex Food Technology Co., Ltd.",603170.SS
"Jiangsu Xinquan Automotive Trim Co.,Ltd",603179.SS
"GoldenHome Living Co., Ltd.",603180.SS
"Qingdao Hiron Commercial Cold Chain Co.,Ltd.",603187.SS
"GONGNIU GROUP CO., LTD",603195.SS
Shanghai Baolong Automotive Corporation,603197.SS
ANHUI YINGJIA DISTILLERY CO.，LID.,603198.SS
"Riyue Heavy Industry Co.,Ltd",603218.SS
